bC	FB	rho	time	Z1	Z2	X1	XC	A	M
0.01	1	0.0105	502.5130769233176	16662.32369422523	1.8204272909856956	9999.791173707818	1011.1095092586789	78.96883828771976	1005.2832901929959	NaN
0.01	1	0.0105	502.57115352399086	16662.12859756356	1.8208540546817336	9999.776955217161	1011.3345861388522	79.10978457619179	1005.6648661175376	NaN
0.01	1	0.0105	502.6293581498327	16661.92914590454	1.8212798266189492	9999.762101047161	1011.5588426362623	79.26160390165238	1006.0345047118847	NaN
0.01	1	0.0105	502.6876789205504	16661.72537826395	1.821704518582945	9999.746600262453	1011.7822319829509	79.42309805427854	1006.3911786223902	NaN
0.01	1	0.0105	502.7461028202556	16661.517341032177	1.8221280357465792	9999.730442761605	1012.0047041933936	79.59299686906417	1006.7339649790677	NaN
0.01	1	0.0105	502.80461604435703	16661.305087049856	1.8225502793387103	9999.713619261918	1012.2262074906628	79.76997083318405	1007.0620560662755	NaN
0.01	1	0.0105	502.86320454905956	16661.08867378386	1.8229711506940398	9999.696121201683	1012.4466904444124	79.95264537980493	1007.3747693530496	NaN
0.01	1	0.0105	502.92185468274494	16660.86816096996	1.8233905557775236	9999.677940580346	1012.6661043395557	80.13961625752172	1007.6715557010117	NaN
0.01	1	0.0105	502.9805539053961	16660.64360766446	1.823808410210221	9999.659069725729	1012.8844057869558	80.32946558977602	1007.9520054627825	NaN
0.01	1	0.0105	503.0392914931455	16660.41506907291	1.8242246440512109	9999.639501013675	1013.1015591846802	80.52077782197385	1008.2158517746387	NaN
0.01	1	0.0105	503.09805919509637	16660.182593299367	1.8246392061103283	9999.61922655043	1013.3175389134861	80.71215494399262	1008.4629709625531	NaN
0.01	1	0.0105	503.15685175194625	16659.94621841026	1.8250520671711647	9999.598237852362	1013.5323309460658	80.90223023800553	1008.6933799393954	NaN
0.01	1	0.0105	503.21566733879075	16659.7059696235	1.825463222592612	9999.576525509498	1013.745934118543	81.0896804000422	1008.9072312971524	NaN
0.01	1	0.0105	503.2745077695984	16659.461857340517	1.825872693179284	9999.554078901043	1013.9583604920045	81.27323529200105	1009.1048059923636	NaN
0.01	1	0.0105	503.33337862869195	16659.213875428482	1.826280525517412	9999.530885916432	1014.1696354323379	81.45168578965037	1009.2865048752957	NaN
0.01	1	0.0105	503.3922891909325	16658.9620003818	1.82668679084095	9999.50693274506	1014.3797969276105	81.6238893573786	1009.4528391249297	NaN
0.01	1	0.0105	503.4512522844101	16658.70619078351	1.827091583527208	9999.482203687892	1014.5888947180481	81.78877401237324	1009.6044206194753	NaN
0.01	1	0.0105	503.5102839953621	16658.44638753418	1.8274950185497183	9999.456681040512	1014.7969888939938	81.9453406392384	1009.741952335442	NaN
0.01	1	0.0105	503.56940330919275	16658.18251449247	1.8278972285582054	9999.430345019964	1015.004148312098	82.09266426390025	1009.8662193765725	NaN
0.01	1	0.0105	503.6286316869074	16657.914479554376	1.8282983605929466	9999.403173742508	1015.2104488354973	82.22989462115594	1009.9780808048312	NaN
0.01	1	0.0105	503.6879925593808	16657.642176276273	1.8286985723271831	9999.375143267724	1015.4159713454358	82.35625633102143	1010.0784623418124	NaN
0.01	1	0.0105	503.74751074407794	16657.365486051585	1.8290980278841615	9999.346227715676	1015.6207995508589	82.47104906812277	1010.1683499842269	NaN
0.01	1	0.0105	503.80721182738864	16657.084280665833	1.829496893531245	9999.316399444348	1015.8250177532411	82.57364815231118	1010.2487845304963	NaN
0.01	1	0.0105	503.86712143644826	16656.798425607012	1.8298953327517222	9999.28562933213	1016.0287083125354	82.66350571828053	1010.3208567460018	NaN
0.01	1	0.0105	503.92726444563857	16656.50778395602	1.8302935010151018	9999.253887154442	1016.2319489817139	82.7401528502423	1010.3857030279166	NaN
0.01	1	0.0105	503.9876640915174	16656.21222101213	1.8306915400863135	9999.221142078217	1016.43481003088	82.80320286485541	1010.4445012332039	NaN
0.01	1	0.0105	504.0483410136937	16655.911609603896	1.8310895720074507	9999.187363277033	1016.6373512322007	82.8523559285287	1010.4984663215257	NaN
0.01	1	0.0105	504.1093121999358	16655.605836225925	1.8314876926262393	9999.152520691056	1016.8396186445278	82.88740505368682	1010.5488453568066	NaN
