pt	FB	rho	time	Z1	Z2	X1	XC	A	M
1.01	1	0.101	504.9242157857938	2308.3700328172326	8.032034535016177	924.0939976562604	619.3969334023643	62.74594066125266	615.7866909311513	NaN
1.01	1	0.101	505.02691296854806	2308.2845937136935	8.032893682784474	924.0823327094358	619.4400787349762	62.7193759122622	615.8147688209775	NaN
1.01	1	0.101	505.1298841005102	2308.1980443480948	8.033748071518003	924.0702884379901	619.4825546392334	62.69193884418635	615.8469393475989	NaN
1.01	1	0.101	505.23313240121786	2308.1104036225183	8.034597681815876	924.0578616816725	619.5243646125108	62.66438730813332	615.8832796455946	NaN
1.01	1	0.101	505.3366867076033	2308.0216683131234	8.0354427012441	924.0450461914961	619.5655221307533	62.63745185008509	615.9237619635278	NaN
1.01	1	0.101	505.44059834020914	2307.931814813501	8.03628349029285	924.0318325963672	619.6060484919393	62.611821837855324	615.9682607710998	NaN
1.01	1	0.101	505.54493704612923	2307.8408019202334	8.037120542200364	924.0182085538959	619.6459704687023	62.58813482062443	616.0165601342999	NaN
1.01	1	0.101	505.64978629750823	2307.7485744415612	8.037954439282814	924.0041590702097	619.6853179146019	62.5669682458742	616.0683606255815	NaN
1.01	1	0.101	505.75523805756626	2307.655067537954	8.038785806951557	923.9896669890436	619.7241213906734	62.54883257932446	616.1232854025953	NaN
1.01	1	0.101	505.8613868901202	2307.56021190647	8.03961526471463	923.9747136811305	619.7624097885272	62.534164936184126	616.1808853773466	NaN
1.01	1	0.101	505.96832329244836	2307.463939922449	8.04044337357905	923.9592799682173	619.8002079359596	62.52332243393213	616.2406437591254	NaN
1.01	1	0.101	506.07612608989217	2307.3661928936144	8.041270579048405	923.9433473262276	619.8375341652074	62.516574686126816	616.3019805708833	NaN
1.01	1	0.101	506.1848542337065	2307.2669291253455	8.042097152839789	923.9268993403067	619.8743980034882	62.514095154749846	616.3642583192352	NaN
1.01	1	0.101	506.29453862791877	2307.1661322123714	8.0429231384092	923.9099233309452	619.9107982201508	62.5159516481186	616.4267903545773	NaN
1.01	1	0.101	506.4051756490378	2307.0638179761886	8.043748312734197	923.8924118864777	619.9467217624283	62.52209703391996	616.4888539654391	NaN
1.01	1	0.101	506.5167242775503	2306.9600381545415	8.044572177699202	923.8743639474424	619.9821440957065	62.532362202772774	616.5497098318328	NaN
1.01	1	0.101	506.6291090799678	2306.854878576119	8.045393995579605	923.8557849783604	620.0170314513578	62.54645403121777	616.6086284837719	NaN
1.01	1	0.101	506.7422295677569	2306.748451099783	8.046212869384242	923.8366859889951	620.0513448441525	62.56396092936157	616.6649219369027	NaN
1.01	1	0.101	506.8559747666022	2306.6408802204633	8.047027856347002	923.817081446191	620.0850451992509	62.58436721081252	616.7179765457811	NaN
1.01	1	0.101	506.9702394968984	2306.5322875533498	8.047838087048671	923.7969865666237	620.1180983357086	62.60707525311296	616.7672817335527	NaN
1.01	1	0.101	507.0849389557382	2306.4227774819306	8.048642865365785	923.7764145672069	620.1504787837604	62.63143251650254	616.8124504394832	NaN
1.01	1	0.101	507.2000189564901	2306.3124266445766	8.049441731815794	923.7553744080652	620.1821718169971	62.65675966662902	616.8532293667569	NaN
1.01	1	0.101	507.3154612855058	2306.201277974253	8.050234488864154	923.7338692426981	620.2131737834625	62.68237665637304	616.8894998058495	NaN
1.01	1	0.101	507.4312847124361	2306.0893389469147	8.051021194383184	923.7118955973187	620.2434911206923	62.707624832013344	616.921271270562	NaN
1.01	1	0.101	507.5475427464676	2305.9765831040622	8.051802132843767	923.6894431749939	620.2731385411365	62.73188441960776	616.9486706464533	NaN
1.01	1	0.101	507.66431914120454	2305.8629539442413	8.052577772562024	923.6664951644831	620.3021367850041	62.75458770430555	616.9719292227238	NaN
1.01	1	0.101	507.78172168879604	2305.748370685047	8.053348713693909	923.6430289966723	620.3305101677887	62.77522876370759	616.9913693028037	NaN
1.01	1	0.101	507.8998743147162	2305.6327358905723	8.054115627933237	923.6190175834719	620.3582839952146	62.79337087044548	617.0073913825771	NaN
1.01	1	0.101	508.0189072494078	2305.515945180529	8.054879189383984	923.5944311217356	620.3854818638882	62.808652785626855	617.0204622750495	NaN
1.01	1	0.101	508.1389448802434	2305.3978994020586	8.05563999516973	923.5692395869239	620.412122840691	62.8207950994712	617.0311039693623	NaN
1.01	1	0.101	508.2600909577831	2305.2785195707525	8.056398475091378	923.5434160365587	620.4382185515406	62.8296075465206	617.039882462111	NaN
1.01	1	0.101	508.38241223707473	2305.15776348721	8.057154798571633	923.5169405451395	620.4637705186535	62.83499778693132	617.047395362574	NaN
1.01	1	0.101	508.5059232568794	2305.035641299583	8.057908796364034	923.4898042038915	620.4887683536015	62.83698113131589	617.0542567512346	NaN
1.01	1	0.101	508.63057734673254	2304.9122248786784	8.058659927110462	923.462012010249	620.5131897322383	62.83568919332232	617.0610780242243	NaN
1.01	1	0.101	508.75626971025093	2304.787645084961	8.059407319994396	923.4335831651482	620.5370029521741	62.83137386677147	617.0684445751275	NaN
1.01	1	0.101	508.8828553236223	2304.662074098516	8.060149902686655	923.4045478648666	620.560172010963	62.82440259175638	617.0768900988921	NaN
1.01	1	0.101	509.0101778335265	2304.5356965631613	8.060886584138688	923.3749411471232	620.5826628724496	62.81524275146716	617.0868721080465	NaN
1.01	1	0.101	509.13810020421977	2304.4086788040117	8.061616433344229	923.344795752347	620.6044488931294	62.804436679348946	617.0987525930526	NaN
1.01	1	0.101	509.2665282872037	2304.2811450337463	8.062338803592683	923.3141361053674	620.6255139373895	62.792571777921445	617.1127862841794	NaN
1.01	1	0.101	509.3954233136041	2304.1531646641056	8.063053384148594	923.2829745709631	620.6458529086045	62.780250836853774	617.1291166972319	NaN
1.01	1	0.101	509.5248043439872	2304.024749776504	8.06376019127385	923.2513099863381	620.6654703606241	62.76806609906681	617.1477784279188	NaN
1.01	1	0.101	509.654743731427	2303.8958597303554	8.064459520643902	923.2191279306676	620.6843780714889	62.75657851396732	617.1687034738696	NaN
1.01	1	0.101	509.7853582663793	2303.766410227348	8.065151879156211	923.1864022034908	620.7025922400791	62.746301995716436	617.1917294740178	NaN
1.01	1	0.101	509.9167976712786	2303.636285120747	8.065837907185244	923.153097167129	620.7201306940494	62.73769157141721	617.2166083148344	NaN
1.01	1	0.101	510.0492304553021	2303.5053508893693	8.066518292808372	923.1191709917507	620.7370102052585	62.731133965674026	617.2430141307392	NaN
