pt	FB	rho	time	Z1	Z2	X1	XC	A	M
1.05	0	0.10500000000000001	794.7500977972707	11.392075069654691	2633.9768753620783	7.276587303113042	1049.9999999999916	83.41989466253251	1043.1234998459001	NaN
1.05	0	0.10500000000000001	795.1277394816523	11.36772233504093	2639.617147893187	7.259958512186032	1049.9999999999918	83.41989466253237	1043.1234998459004	NaN
1.05	0	0.10500000000000001	795.5069036339021	11.34337552068644	2645.2802633625806	7.243339055487912	1049.999999999992	83.41989466253223	1043.1234998459006	NaN
1.05	0	0.10500000000000001	795.8876037077375	11.31903435738354	2650.9664233068065	7.226728739836355	1049.9999999999923	83.41989466253223	1043.1234998459008	NaN
1.05	0	0.10500000000000001	796.2698533215037	11.29469857482411	2656.6758317307394	7.210127371555608	1049.9999999999925	83.41989466253224	1043.1234998459008	NaN
1.05	0	0.10500000000000001	796.6536663113025	11.27036789838225	2662.408695901279	7.1935347542830606	1049.9999999999927	83.41989466253213	1043.1234998459008	NaN
1.05	0	0.10500000000000001	797.0390566826923	11.246042052370573	2668.1652256261123	7.176950691192678	1049.999999999993	83.41989466253192	1043.1234998459008	NaN
1.05	0	0.10500000000000001	797.4260386385813	11.221720758437664	2673.945633670515	7.160374983903326	1049.9999999999932	83.41989466253169	1043.1234998459017	NaN
1.05	0	0.10500000000000001	797.8146265818502	11.197403735587574	2679.7501357966967	7.143807432494052	1049.9999999999934	83.41989466253182	1043.1234998459026	NaN
1.05	0	0.10500000000000001	798.2048350661164	11.173090703425894	2685.5789500285277	7.127247837716678	1049.9999999999936	83.41989466253229	1043.1234998459033	NaN
1.05	0	0.10500000000000001	798.5966788496917	11.148781378936754	2691.4322974576667	7.11069599880017	1049.9999999999936	83.41989466253287	1043.1234998459036	NaN
1.05	0	0.10500000000000001	798.9901728983267	11.124475476501978	2697.3104022847556	7.094151713465697	1049.9999999999936	83.41989466253345	1043.1234998459033	NaN
1.05	0	0.10500000000000001	799.3853323880023	11.100172707920189	2703.2134918613083	7.0776147779415775	1049.9999999999936	83.41989466253371	1043.1234998459024	NaN
1.05	0	0.10500000000000001	799.7821726813756	11.075872784038324	2709.141796338024	7.061084988074924	1049.9999999999936	83.41989466253351	1043.123499845902	NaN
1.05	0	0.10500000000000001	800.1807093302132	11.05157541476285	2715.0955487013125	7.044562139339457	1049.9999999999936	83.41989466253308	1043.1234998459013	NaN
1.05	0	0.10500000000000001	800.5809581577294	11.027280304233752	2721.0749860035235	7.0280460235554845	1049.9999999999936	83.41989466253231	1043.1234998459013	NaN
1.05	0	0.10500000000000001	800.9829351287976	11.002987158919764	2727.080347424234	7.011536434395878	1049.9999999999939	83.4198946625318	1043.1234998459015	NaN
1.05	0	0.10500000000000001	801.3866564590064	10.978695681165632	2733.1118758996095	6.995033162999639	1049.9999999999939	83.41989466253142	1043.1234998459024	NaN
1.05	0	0.10500000000000001	801.7921386181984	10.954405569218155	2739.16981817554	6.978535997993192	1049.9999999999939	83.4198946625316	1043.1234998459029	NaN
1.05	0	0.10500000000000001	802.1993982528058	10.930116522088221	2745.2544236475223	6.962044728794563	1049.9999999999939	83.41989466253202	1043.1234998459033	NaN
1.05	0	0.10500000000000001	802.6084522969231	10.905828233106243	2751.365946020297	6.945559141238305	1049.9999999999939	83.4198946625326	1043.1234998459033	NaN
