tspan	bP	bD	bI	CoRaDyn(bC)
500.0	0.20833333333333334	0.23333333333333334	0.02	0.06133804508751669
500.0	0.22916666666666666	0.23333333333333334	0.02	0.060168959062778304
500.0	0.25	0.23333333333333334	0.02	0.05904462027701226
500.0	0.2708333333333333	0.23333333333333334	0.02	0.05796319392678997
500.0	0.2916666666666667	0.23333333333333334	0.02	0.05692197887555621
500.0	0.3125	0.23333333333333334	0.02	0.05592475208357805
500.0	0.3333333333333333	0.23333333333333334	0.02	0.05496532360121529
500.0	0.3541666666666667	0.23333333333333334	0.02	0.05404546032956521
500.0	0.375	0.23333333333333334	0.02	0.05316361768108943
500.0	0.3958333333333333	0.23333333333333334	0.02	0.052318174998060775
500.0	0.4166666666666667	0.23333333333333334	0.02	0.05151292244456328
500.0	0.4375	0.23333333333333334	0.02	0.05074172627241789
500.0	0.4583333333333333	0.23333333333333334	0.02	0.05004030007075577
500.0	0.4791666666666667	0.23333333333333334	0.02	0.05009397223242691
500.0	0.5	0.23333333333333334	0.02	0.10928630523573338
500.0	0.0	0.26666666666666666	0.02	0.0761254020219413
500.0	0.020833333333333332	0.26666666666666666	0.02	0.07434528972345521
500.0	0.041666666666666664	0.26666666666666666	0.02	0.07264354143244277
500.0	0.0625	0.26666666666666666	0.02	0.07101639945098326
500.0	0.08333333333333333	0.26666666666666666	0.02	0.06945993848336962
500.0	0.10416666666666667	0.26666666666666666	0.02	0.06796940479183702
500.0	0.125	0.26666666666666666	0.02	0.06654156216042417
500.0	0.14583333333333334	0.26666666666666666	0.02	0.06517101577530222
500.0	0.16666666666666666	0.26666666666666666	0.02	0.06385910014786143
500.0	0.1875	0.26666666666666666	0.02	0.06259867745284174
500.0	0.20833333333333334	0.26666666666666666	0.02	0.061386631894470085
500.0	0.22916666666666666	0.26666666666666666	0.02	0.06022470271084942
500.0	0.25	0.26666666666666666	0.02	0.05910551424321312
500.0	0.2708333333333333	0.26666666666666666	0.02	0.0580329246219775
500.0	0.2916666666666667	0.26666666666666666	0.02	0.056999710717745886
500.0	0.3125	0.26666666666666666	0.02	0.05601146464229768
500.0	0.3333333333333333	0.26666666666666666	0.02	0.0550603450305463
500.0	0.3541666666666667	0.26666666666666666	0.02	0.054149974972614416
500.0	0.375	0.26666666666666666	0.02	0.053278996109755145
500.0	0.3958333333333333	0.26666666666666666	0.02	0.052446248157228925
500.0	0.4166666666666667	0.26666666666666666	0.02	0.05165319571613554
